p,n,k,instances,mean_improvement_pct,sd_improvement_pct,se_improvement_pct,mean_time_s,sd_time_s,se_time_s,mean_moves,se_moves
1,100,1,20,6.78711285,6.442361918714687,1.4405559185902015,0.002428,0.00040654461786597236,9.090614014349896e-05,42.05,2.179419285280515
1,100,2,20,13.67861225,8.240547748376814,1.8426424937203387,0.0050252,0.0008578753191215463,0.00019182675297751026,53.1,2.2825424421026654
1,100,3,20,16.8570959,8.43538937143282,1.8862104051203006,0.0093197,0.0017015961268607098,0.00038048846099109025,57.05,2.4044640501411227
1,100,4,20,19.32760295,7.250606489664975,1.6212848988992008,0.015877250000000002,0.002098401443580578,0.00046921682719298615,59.45,1.8502844731497226
1,100,5,20,21.31849,5.9294953882373145,1.3258754760370142,0.02598315,0.004121999237403846,0.0009217070498037293,61.8,2.431806779027955
1,100,8,20,20.069949,7.246190775027438,1.6202975150893237,0.0737854,0.012210262811948074,0.002730297767065362,59.2,2.0424443560029784
1,100,10,20,20.8914157,7.062112615581492,1.5791363873199056,0.1274001,0.024510148520883946,0.005480635823131242,62.65,2.6450300963365834
1,100,12,20,20.73073065,6.713847597123302,1.5012619617741325,0.1779585,0.03138604223888467,0.007018132399082582,62.55,2.379158409362879
1,100,20,20,20.985787600000002,6.66753877779665,1.4909069949769174,0.3020179,0.04754154242111784,0.010630612060880942,65.1,2.6336886280412277
1,250,1,20,5.491217799999999,4.767644133543654,1.0660776375131695,0.014511,0.0019329804366369186,0.0004322275655497375,112.05,4.462401406842449
1,250,2,20,14.026252099999999,5.597117301839741,1.2515534764953868,0.0340651,0.004427455594594401,0.000990009167687483,151.3,4.562490086506894
1,250,3,20,17.0487047,4.745986737252046,1.061234896480801,0.06484845,0.006692631151812456,0.0014965178203785365,158.3,3.5019543415821848
1,250,4,20,17.4829304,3.9204176906476285,0.8766320456480838,0.11158425000000001,0.01020820653290386,0.0022826243735930476,162.1,3.6734466821114733
1,250,5,20,19.4871573,5.594208264465267,1.2509029959635456,0.19520854999999998,0.02466786573123444,0.005515902463487776,174.45,5.348622547712143
1,250,8,20,22.135146900000002,6.011070263340429,1.344116172635676,0.6189598000000001,0.06728949710772496,0.015046388970464848,182.5,5.4601426624894005
1,250,10,20,22.594220200000002,6.204676305760956,1.3874077998063767,1.03699575,0.111823451452384,0.025004483892617817,178.5,5.060424363315995
1,250,12,20,23.45677035,6.510574576810683,1.4558087326330613,1.6125180000000001,0.23172829276456286,0.05181602149315352,187.75,6.882041848172677
1,250,20,20,23.06556895,6.440676510230252,1.4401790497960962,4.05811735,0.3315844873147995,0.07414454539203083,188.45,4.829991282546344
1,500,1,20,4.3527077,3.0998684557603764,0.6931516588387501,0.0731504,0.006769506764276031,0.001513707729906585,219.8,4.838768873435299
1,500,2,20,11.30711255,5.864414608938797,1.3113229713829995,0.1624706,0.0153372126589993,0.003429505009089274,302.1,6.869804256768586
1,500,3,20,15.29970725,6.53239066874549,1.4606869590900224,0.30867049999999996,0.03759586156886503,0.00840669021406541,330.25,7.272831563247455
1,500,4,20,18.37442205,6.440892616188523,1.4402273725574,0.56509205,0.0619517869998199,0.013852840705918504,360.75,8.0075211355851
1,500,5,20,20.1396838,6.336320839060751,1.4168444123388344,0.9189244500000001,0.1127736584423466,0.025216956634843003,367.8,10.233999064007444
1,500,8,20,22.09999555,6.108378193348486,1.3658748872604567,3.0768306500000002,0.3222939394502241,0.07206711573469023,397.95,9.542832802409189
1,500,10,20,22.9687976,5.326956344390416,1.191143649923075,5.63476015,0.5817886235377275,0.1300918910766393,419.0,9.649925006526162
1,500,12,20,22.4001093,6.6924308017831144,1.4964730207500463,8.263331650000001,1.0574132257510243,0.23644478530866211,405.85,14.432105109606736
1,500,20,20,23.06740405,6.7432554422950135,1.507837755861706,23.5359545,4.446819454190809,0.9943390583239161,412.0,10.699483509423295
2,100,1,20,5.4607867,6.535153069886099,1.461304650763175,0.0027228,0.00047766731430766196,0.000106809658542169,41.05,2.366960075708925
2,100,2,20,10.94022555,7.531854253861979,1.684173810825634,0.0058131,0.0008738523240287952,0.00019539931988245588,56.3,2.3
2,100,3,20,16.953187500000002,6.640600965778494,1.4848835170931465,0.0106411,0.0018133125808281025,0.00040546901951872186,59.2,2.549096847285741
2,100,4,20,18.24770425,6.723063424558346,1.503322683435499,0.0180724,0.0021174758906227055,0.0004734820032149279,61.35,1.7610926632125443
2,100,5,20,18.87220685,6.231478163320594,1.3934008773490383,0.028706749999999996,0.004144929722913856,0.0009268344622394749,62.5,2.093222144773082
2,100,8,20,19.84152065,6.148798613309024,1.374913167931542,0.08789595,0.01220383261833412,0.0027288599320624335,66.3,2.1325793623783627
2,100,10,20,20.017022750000002,6.165369727218823,1.3786185816480623,0.14152755,0.020759020219438408,0.004641858035695688,66.65,2.1888172725541932
2,100,12,20,19.94474515,5.6618298298440894,1.266023637656745,0.1952641,0.030555547860283985,0.006832428210534323,66.6,2.221189818661682
2,100,20,20,19.631091050000002,5.872731332414044,1.3131826472870716,0.32733955,0.0509390990337068,0.011390328815196226,66.6,2.223558078017255
2,250,1,20,4.963416499999999,4.456260556547413,0.996450152989106,0.01914225,0.0018688936179630873,0.00041789731724809853,113.6,3.835704834700836
2,250,2,20,13.114943199999999,5.256311501940917,1.1753469829253906,0.042603199999999994,0.007024217046460728,0.0015706626804598985,150.55,5.048436443723521
2,250,3,20,15.771644349999999,4.622961992024722,1.033725727156512,0.07782934999999999,0.008571570274828048,0.0019166613808432069,161.65,4.398728883379116
2,250,4,20,18.47301795,6.0728355772830875,1.357927316698416,0.14167965,0.020108999528294473,0.004496508990477765,173.5,5.674736256333625
2,250,5,20,19.1001035,4.593935770167078,1.0272352666361435,0.22942140000000003,0.024855268153642477,0.005557806919053027,179.35,4.681022717762703
2,250,8,20,20.2257872,5.9830973171233905,1.3378612317084517,0.68866265,0.09553827200726529,0.021363007066111047,178.35,5.824754343137119
2,250,10,20,20.4789911,5.496606654548297,1.2290786125147695,1.17685995,0.13608665456070146,0.030429901042826023,188.85,5.604169030847998
2,250,12,20,21.0081384,5.605271955898984,1.2533769125763332,1.79355145,0.19814935847525536,0.044307543524864504,190.5,6.176994670379337
2,250,20,20,21.1498362,5.604530884583854,1.2532112039926524,4.445066049999999,0.5121549291989552,0.11452132367004557,190.35,6.465810894722779
2,500,1,20,4.510438049999999,4.526686092116063,1.0121977814774392,0.10347495,0.005976113404079699,0.0013362995812769877,227.35,4.576412637817851
2,500,2,20,11.4288136,6.521175950668313,1.4581792718931164,0.22087255,0.028965972625742492,0.0064769883825558285,309.4,6.667438551805727
2,500,3,20,15.9744341,6.222733242186299,1.3914454535376226,0.4022513,0.042413310435708625,0.00948390452850457,336.6,8.549976915942983
2,500,4,20,16.57317165,5.5548452195939175,1.2421011515501745,0.69054085,0.06978227056485653,0.015603790060730184,353.15,9.184447666973144
2,500,5,20,19.161371199999998,4.892948418304906,1.0940965273729846,1.2086421,0.13850515649906894,0.030970694516616493,371.45,9.199678198033256
2,500,8,20,19.7110143,5.138593679770474,1.1490244776717564,3.9485327499999996,0.43100756358559056,0.09637622109939434,397.95,11.947797638939681
2,500,10,20,20.446589449999998,4.553892142920308,1.0182812393771996,6.893485350000001,0.4794520912065613,0.10720874678923002,408.35,7.071914428513012
2,500,12,20,20.9445252,5.17780540409471,1.1577924857821538,11.03300855,1.2971693420382089,0.29005588271261107,421.55,10.76751327397664
2,500,20,20,21.33464875,5.051629964650189,1.1295787998132683,32.37266285,4.3978360739330515,0.9833860415215093,419.55,11.796180247056784
